Designator,Mid X,Mid Y,Rotation,Layer
C1,154.46088,-100.51134,180.0,bottom
C2,156.516999,-142.955028,180.0,bottom
C3,154.21284,-147.613955,90.0,bottom
C4,149.285076,-147.61659,90.0,bottom
C5,167.779631,-134.531802,180.0,bottom
D1,168.958689,-101.972113,90.0,bottom
D10,183.941971,-125.231776,90.0,bottom
D11,219.950129,-125.231776,90.0,bottom
D12,255.951163,-125.231776,90.0,bottom
D13,287.485834,-127.238338,90.0,bottom
D14,160.805235,-154.809207,270.0,bottom
D15,192.963054,-141.303739,270.0,bottom
D16,228.956067,-138.664175,270.0,bottom
D17,246.960258,-138.664175,270.0,bottom
D18,285.363485,-138.664175,270.0,bottom
D19,146.386321,-154.809207,270.0,bottom
D2,143.519758,-102.909613,270.0,bottom
D20,179.463782,-154.809207,270.0,bottom
D21,255.972908,-154.809207,270.0,bottom
D22,291.960491,-154.809207,270.0,bottom
D24,134.432073,-102.674879,180.0,bottom
D3,152.47202,-102.680719,180.0,bottom
D4,165.35625,-135.73125,0.0,bottom
D5,179.433941,-102.909613,270.0,bottom
D6,215.479743,-102.909613,270.0,bottom
D7,251.511651,-102.909613,270.0,bottom
D8,288.642345,-102.909613,270.0,bottom
D9,146.915792,-124.80591,90.0,bottom
F1,157.008958,-110.112886,180.0,bottom
H1,128.65602,-102.072558,180.0,bottom
H2,306.75602,-102.072558,180.0,bottom
H3,128.65602,-163.672558,180.0,bottom
H4,306.75602,-163.672558,180.0,bottom
H5,183.95602,-132.872558,180.0,bottom
H6,255.95602,-132.872558,180.0,bottom
J1,161.525442,-102.537616,180.0,bottom
J3,172.660988,-136.397785,180.0,bottom
J4,177.243891,-136.399831,270.0,bottom
J5,161.581051,-150.855201,90.0,top
L1,171.394129,-101.972113,270.0,bottom
L2,157.566773,-141.682816,0.0,bottom
Q1,168.916979,-136.648473,0.0,bottom
Q2,175.403821,-140.802638,180.0,bottom
R1,157.067721,-105.667692,315.0,bottom
R2,166.074146,-105.667692,225.0,bottom
R3,137.136005,-102.989452,270.0,bottom
R5,149.504815,-103.004349,270.0,bottom
R6,166.55502,-137.919633,270.0,bottom
R7,154.216165,-149.050782,270.0,bottom
SW1,132.79352,-109.960058,180.0,top
SW10,297.04352,-109.960058,180.0,top
SW11,138.36852,-121.785058,0.0,top
SW12,158.61852,-121.785058,0.0,top
SW13,176.61852,-121.785058,0.0,top
SW14,194.61852,-121.785058,0.0,top
SW15,212.61852,-121.785058,0.0,top
SW16,230.61852,-121.785058,0.0,top
SW17,248.61852,-121.785058,0.0,top
SW18,266.61852,-121.785058,0.0,top
SW19,284.61852,-121.785058,0.0,top
SW2,150.79352,-109.960058,180.0,top
SW20,299.29352,-126.960058,180.0,top
SW21,139.54352,-143.960058,180.0,top
SW22,164.29352,-143.960058,180.0,top
SW23,182.29352,-143.960058,180.0,top
SW24,200.29352,-143.960058,180.0,top
SW25,218.29352,-143.960058,180.0,top
SW26,236.29352,-143.960058,180.0,top
SW27,254.29352,-143.960058,180.0,top
SW28,272.29352,-143.960058,180.0,top
SW29,294.79352,-143.960058,180.0,top
SW3,168.79352,-109.960058,180.0,top
SW30,136.11852,-155.785058,0.0,top
SW31,150.798072,-160.965824,180.0,top
SW32,168.79352,-160.960058,180.0,top
SW33,198.04352,-160.960058,180.0,top
SW34,236.29352,-160.960058,180.0,top
SW35,263.29352,-160.960058,180.0,top
SW36,281.29352,-160.960058,180.0,top
SW37,302.61852,-155.785058,0.0,top
SW38,127.583911,-137.399835,270.0,bottom
SW39,127.596002,-145.340258,270.0,bottom
SW4,186.79352,-109.960058,180.0,top
SW5,204.79352,-109.960058,180.0,top
SW6,222.79352,-109.960058,180.0,top
SW7,240.79352,-109.960058,180.0,top
SW8,258.79352,-109.960058,180.0,top
SW9,276.79352,-109.960058,180.0,top
U1,153.922814,-133.716799,270.0,bottom
U2,159.290807,-113.978059,270.0,bottom
U4,151.750852,-148.246849,0.0,bottom
